10.192.0.241;MEP-CSC00CRS3-C1
10.192.0.240;ANA-CSC00CRS3-C1
10.192.0.254;CEG-CSC007606-T1
10.192.0.253;SIQ-CSC007606-T1
10.192.0.252;TUR-CSC007606-T1
10.192.0.251;ATE-CSC007606-T1
10.192.0.249;BAR-CSC007606-T1-CR
10.192.0.248;LIM-CSC007606-T1
10.192.0.247;BAG-CSC007606-T1
10.192.0.246;LIB-CSC007606-T1
10.192.0.245;CRU-CSC007606-T1
10.192.0.242;TUC-CSC007606-T1
10.192.0.239;AGZ-CSC007606-T1
10.192.0.238;CHI-CSC007606-T1
10.192.0.237;GUA-CSC007606-T1
10.192.0.234;ACHICRCNN1P1FFT1
10.192.0.233;AUPACRUPN1P1FFT1
10.192.0.232;GCRUCRFAN1P1FFT1
10.192.0.231;PCORCRPCN1O1EBT1
10.192.0.230;LTALCRFCN1P1EBT1
10.192.0.229;CRCCAHUIN1G1EBT1
10.192.0.228;CAR-CSC007606-T2
10.192.0.227;CAR-CSC007606-T1
10.192.0.226;MEP-CSC007606-T2
10.192.0.222;CHI-CSC007606-T1-2
10.192.0.221;POC-CSC007606-T1
10.192.0.220;SCA-CSC007606-T1
10.192.0.219;LAG-CSC007606-T1
10.192.0.218;GRE-CSC007606-T1
10.192.0.212;HCHOHNH5N1D1ECT1
10.192.0.208;ARE-CSC007606-T1
10.192.0.206;MSC-CSC007606-T1
10.192.0.9;ANT-CSC007606-T1
10.192.0.8;CHMLGTCMN1D1EBT1
10.192.0.8;CMT-CSC007606-T1
10.192.0.7;SOL-CSC007606-T1
10.192.0.6;HUE-CSC007606-T1
10.192.0.55;LAF-CSCASR9K6-T2
10.192.0.54;REU-CSCASR9K6-T2
10.192.0.53;ZAC-CSCASR9K6-T3
10.192.0.52;JUT-CSCASR9K6-T3
10.192.0.51;HUEHGTCAN1D1EBT1
10.192.0.5;TOT-CSC007606-T1
10.192.0.44;GNCYGTAJN2T1FST1
10.192.0.43;DJU-CSC007606-T2
10.192.0.42;DJU-CSC007606-T1
10.192.0.4;LAF-CSC007606-T1
10.192.0.35;GDV-CSCOO7606-T2
10.192.0.34;COB-CSC007606-T1
10.192.0.33;HUE-CSC0CRS3-T1
10.192.0.32;TEU-CSC0CRS3-T1
10.192.0.31;CEN-CSC007609-T2
10.192.0.30;ZAC-CSC007606-T2
10.192.0.3;SAM-CSC007606-T1
10.192.0.29;EST-CSC001002-D1
10.192.0.28;GDV-CSC001002-D1
10.192.0.27;PBA-CSC0CRS3-T1
10.192.0.26;GDV-CSC007606-T1
10.192.0.25;BAR-CSC007606-T1-GT
10.192.0.24;JTPAGTJUN1D1ECT2
